Title,Company,Company_ratings,Skills,Experience,City,Salary,Post_date
Data Analyst,Amnet Digital,3.3,Product managementProduct engineeringBusiness analyticsAnalyticalArtificial IntelligenceMachine learningAgileHealthcare,5-10 Yrs,Hyderabad,Not disclosed,3+ weeks ago
Data Scientist (Commercial),Amgen Inc,2.7,pythonjupyter notebooksqldata bricksdata sciencenatural language processingpharma analyticspredictive,3-5 Yrs,Hyderabad,22.5-30 Lacs PA,2 days ago
Machine Learning Engineer,RSN Ginfo Solutions,4.9,Data AnalysisMachine LearningPythonArtificial IntelligenceData AnalyticsMl AlgorithmsAlgorithmsIntelligence,3-5 Yrs,Hyderabad,13-23 Lacs PA,Today
Data Engineer,Amgen Inc,2.7,data engineerpythondata analysisairflowsprintdatabricksdata warehousingmachine learning,1-4 Yrs,Hyderabad,1.5-2.5 Lacs PA,2 days ago
Data Scientist,Heaps Health Solutions India,4,Data analysisVersion controlGITdata scienceGCPAnalyticalMachine learningData mining,1-4 Yrs,"Hyderabad, Bengaluru",1.75-3 Lacs PA,3+ weeks ago
Machine Learning & Generative AI Engineer (Female Candidates),Williams-sonoma,3.5,pythonmapinfodata analysisgis softwarearcgisarcgis serverarc mapphotogrammetry,3-7 Yrs,"Hyderabad, Visakhapatnam",13-23 Lacs PA,3+ weeks ago
Data Scientist,Virinchi Health Care,3.2,hivepythondata analysisedanatural language processingbig data technologiespredictivedata pipeline,3-5 Yrs,Hyderabad,2.5-3.5 Lacs PA,3+ weeks ago
Chief AI & Clinical Intelligence Officer (Hospitals),S&P Global Market Intelligence,4,"Artificial Intelligence
Machine Learning
Deep Learning
Designing And Developing",3-8 Yrs,"Hyderabad, Noida",2.25-3.25 Lacs PA,2 days ago
Lead Data Science Engineer,Cloudangle It Solutions,2.2,pythonmachine learningartificial intelligencedata sciencemachine learning algorithmscontinuous integrationcloud securityci/cd,3-5 Yrs,Hyderabad,2.5-3 Lacs PA,2 weeks ago
AI/ML Developer & Data Scientist,Columbus Global,3.4,deep learningData analysisGCPAnalyticalMachine learningAgileDeploymentbig data,6-8 Yrs,Hybrid - Hyderabad,1.75-3 Lacs PA,1 day ago
Hiring - Data Scientist - Columbus Global - Hyderabad,Amgen Inc,2.7,PythonData SciencePysparkGen AIArtificial IntelligenceHadoopAzure Machine LearningMachine Learning,5-10 Yrs,Hyderabad,1.2-3 Lacs PA,3 weeks ago
CarbyneTech - Data Scientist - Image Recognition/Machine Learning,Medtronic,3.9,Data ScientistNLPTime Series AnalysisArtificial IntelligenceData ManagementImage RecognitionDistributed ComputingMachine Learning,5-9 Yrs,Hyderabad,1-2.25 Lacs PA,2 days ago
Data Engineer,PAYODA,3.8,data analysisdata warehousingdata architecturedata modelingetl processpythonpresentation skillspyspark,10-15 Yrs,Hyderabad,1.8-2.16 Lacs PA,3+ weeks ago
Lead AI/Data Science Engineer,Genpact,3.6,Computer scienceComputer visionMedical devicesMedical imagingdata scienceMachine learningHealthcareUltrasound,5-10 Yrs,Hyderabad,2-4 Lacs PA,3 weeks ago
Data Scientist - Image Recognition/Machine Learning,Databeat,3.8,Image RecognitionNLPData ScientistTime Series AnalysisArtificial IntelligenceData ManagementDistributed ComputingMachine Learning,4-6 Yrs,Hyderabad,5-10 Lacs PA,3+ weeks ago
Data Scientist,Nomiso,2.7,Data analysisStatistical modelingNeural networksAnalyticalMachine learningProgrammingInformation retrievalData mining,5-10 Yrs,Hyderabad,3.6-6 Lacs PA,3+ weeks ago
Data Scientist,Cotiviti,3.6,Generative AiData ScienceLangchainNatural Language ProcessingCloud PlatformMachine LearningDeep LearningSQL,3-8 Yrs,Hyderabad,7.5-15 Lacs PA,3+ weeks ago
Data Engineer,Genpact,3.6,Computer scienceData analysisArchitectureData modelingdata securityMachine learningData processingAnalytics,10-12 Yrs,Hyderabad,1.5-2 Lacs PA,3 weeks ago
Lead Data Scientist - Machine Learning & AI Technologies,Amgen Inc,2.7,Data ScienceRData PipelineData ScientistArtificial IntelligenceStatistical ModelingData VisualizationAWS,4-9 Yrs,Hybrid - Hyderabad,2-3 Lacs PA,2 weeks ago
Data Scientist,Pennant Technologies,3.9,Data SciencepythonRHadoopAimlPytorchArtificial IntelligenceSCALA,10-15 Yrs,"Hybrid - Hyderabad, Kolkata, Bengaluru","50,000-2.5 Lacs PA",3+ weeks ago
Inviting applications For the role of Full Stack Data Scientist,Accenture,3.7,AI/MLmodel architectureGenerative AI ApplicationsAzure DevopsPythonCI/CD pipelinesLLMsRest Apis,0-5 Yrs,Hyderabad,"50,000-2.75 Lacs PA",2 days ago
Principal Data Scientist / Senior Data Scientist/ Data Scientist - NLP,S&P Global Market Intelligence,4,Data ScienceTensorflowNLPData ScientistArtificial IntelligenceData ModelingMachine LearningNumpy,0-5 Yrs,Hyderabad,1-1.5 Lacs PA,2 days ago
Principal Data Scientist/Senior Data Scientist/Data Scientist,Barry Callebaut,3.7,Data ScienceTensorflowNLPData ScientistArtificial IntelligenceData ModelingMachine LearningNumpy,0-5 Yrs,Hyderabad,1-2 Lacs PA,2 days ago
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,Silent Eight,5,NLPannchatbotalgorithmspythonhypothesis testingnumpymachine learning,3-5 Yrs,Hyderabad,"50,000-2.75 Lacs PA",1 week ago
Sr. Machine Learning Engineer,Amgen Inc,2.7,machine learningkubernetespythongithubaislallmdocker,0-5 Yrs,Hyderabad,1.25-1.5 Lacs PA,2 days ago
Principal Data Scientist/ Senior Data Scientist/Data Scientist,Tredence,3.4,pythonannchatbotalgorithmscnnnatural language processinghypothesis testingmathematics,0-5 Yrs,Hyderabad,5-10 Lacs PA,2 days ago
Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Tiger Analytics,3.7,Deep LearningData ScienceTensorflowNLPData ScientistArtificial IntelligenceData ModelingMachine Learning,4-9 Yrs,Hyderabad,7-10 Lacs PA,Today
Senior AI / ML and Generative AI Engineer,Pragmaticplay India,2.8,Agentic AiGenerative AiLanggraphPythonLangchainNatural Language ProcessingMachine LearningLanguages,3-8 Yrs,Hyderabad,1.25-2.25 Lacs PA,2 days ago
S&C Global Network- Ai&Data-FS Eng- Senior Analyst,Aviato Consulting,3.9,aikubernetesctechnical leadershipnumpymarket researchmachine learningmicroservices,4-9 Yrs,"Hyderabad, Gurugram, Bengaluru",2-4 Lacs PA,1 week ago
"Engineer, Quality Engineering",Brillius,4,quality engineeringrestpythongithubqa engineeraiuser storiesmachine learning,8-13 Yrs,Hyderabad,7-9 Lacs PA,3+ weeks ago
MRO and Reliability Data Scientist,Zensar,3.7,AutomationData analysisChange managementSAPSSRSAsset managementSQLPython,3-10 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",25-40 Lacs PA,3+ weeks ago
Data Scientist,Amgen Inc,2.7,Computer sciencePrototypeGITLinuxMachine learningUnit testingAnalyticsMonitoring,3-7 Yrs,Hyderabad,9-18 Lacs PA,2 days ago
Sr Data Engineer,Amgen Inc,2.7,data engineerpythondata analysisairflowsprintdatabricksdata warehousingmachine learning,2-7 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",15-27.5 Lacs PA,5 days ago
Senior Data Scientist,Amgen Inc,2.7,Data ScienceTime Series AnalysisArtificial IntelligenceMachine LearningPythonPredictive ModelingNatural Language ProcessingMachine Learning Algorithms,5-8 Yrs,Hyderabad,19-27.5 Lacs PA,3+ weeks ago
Senior Data Scientist - Machine Learning,Amgen Inc,2.7,Data ScienceRPower BIData ScientistStatistical ModelingData VisualizationData ModelingTableau,4-9 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",18-25 Lacs PA,Today
Senior Analyst / Data Scientist - Data Science,Amgen Inc,2.7,Data ScienceClassificationRegressionPredictive ModelingXgboostStatistical ModelingModel BuildingRegression Modeling,5-8 Yrs,Hyderabad,14-18 Lacs PA,3+ weeks ago
